slip,mu_noisy,surface,c1_true,c2_true,c3_true,mu_true,s_opt_true,mu_peak_true,scenario,dist_name,mode
0.123512785489969,1.14971003630846,Dry asphalt,1.2801,23.99,0.52,1.14974340092638,0.17000840950972,1.17001992884736,Dry High,60F/40R,Framework
0.12680677326594,1.15302303169538,Dry asphalt,1.2801,23.99,0.52,1.15305515451351,0.17000840950972,1.17001992884736,Dry High,60F/40R,Framework
0.132524090896068,1.15788378772893,Dry asphalt,1.2801,23.99,0.52,1.15791389194619,0.17000840950972,1.17001992884736,Dry High,60F/40R,Framework
0.13189575452937,1.15740119124119,Dry asphalt,1.2801,23.99,0.52,1.15743150920347,0.17000840950972,1.17001992884736,Dry High,60F/40R,Framework
0.132749825138121,1.15805419834946,Dry asphalt,1.2801,23.99,0.52,1.15808422624981,0.17000840950972,1.17001992884736,Dry High,60F/40R,Framework
0.129699335952301,1.15561642095553,Dry asphalt,1.2801,23.99,0.52,1.15564750155149,0.17000840950972,1.17001992884736,Dry High,60F/40R,Framework
0.12548366081866,1.15173987518576,Dry asphalt,1.2801,23.99,0.52,1.15177248960756,0.17000840950972,1.17001992884736,Dry High,60F/40R,Framework
0.124541972503245,1.15078802326325,Dry asphalt,1.2801,23.99,0.52,1.15082099342185,0.17000840950972,1.17001992884736,Dry High,60F/40R,Framework
0.131967204199583,1.15745668435362,Dry asphalt,1.2801,23.99,0.52,1.15748697791249,0.17000840950972,1.17001992884736,Dry High,60F/40R,Framework
0.131487057170703,1.15708070385038,Dry asphalt,1.2801,23.99,0.52,1.15711116188771,0.17000840950972,1.17001992884736,Dry High,60F/40R,Framework
0.132505675831448,1.15786981706231,Dry asphalt,1.2801,23.99,0.52,1.15789992751637,0.17000840950972,1.17001992884736,Dry High,60F/40R,Framework
0.129703853347525,1.15562025134901,Dry asphalt,1.2801,23.99,0.52,1.15565133035138,0.17000840950972,1.17001992884736,Dry High,60F/40R,Framework
0.135884115310153,1.16026339439419,Dry asphalt,1.2801,23.99,0.52,1.16029238789382,0.17000840950972,1.17001992884736,Dry High,60F/40R,Framework
0.135311332146407,1.15988105050969,Dry asphalt,1.2801,23.99,0.52,1.15991022957927,0.17000840950972,1.17001992884736,Dry High,60F/40R,Framework
0.134647875916562,1.159426409648,Dry asphalt,1.2801,23.99,0.52,1.15945580557997,0.17000840950972,1.17001992884736,Dry High,60F/40R,Framework
0.132104628867259,1.15756297274752,Dry asphalt,1.2801,23.99,0.52,1.15759321944026,0.17000840950972,1.17001992884736,Dry High,60F/40R,Framework
0.138585722865465,1.16194373461226,Dry asphalt,1.2801,23.99,0.52,1.16197187307286,0.17000840950972,1.17001992884736,Dry High,60F/40R,Framework
